inbox, A
assign, B
star, C
star-f, D
duedate, E
week, F
infinite, G
checkmark, H
bubble, I
bubble-s-f, J
list, K
people, L
plus, M
pen, N
microphone, O
date, P
pin, Q
bubble-s, R
paperclip, S
paperclip-f, T
eye, U
eye-closed, V
invite, W
mail, X
lock, Y
printer, Z
sort-az, a
sort-dd, b
duedate-f, c
checkbox-f, d
reminder, e
recurring, f
refresh, g
extend, h
collapse, i
trash, j
person, k
bell, l
bell-s, m
logout, n
background, o
add, p
appbadge, q
dnd, r
clear, s
support, t
info, u
write, v
back, w
hamburger, x
sync, y
search, z
settings, 0
camera, 1
hashtag, 2
pictures, 3
x, 4
x-h, 5
x-a, 6
refresh-s, 7
refresh-s-h, 8
refresh-s-a, 9
heart, Æ
heart-f, Œ
options, ø
smiley-h, I
check-f-old, \005C
arrow-dn, –
